Item number,Title,Start price,Condition,Brand,Size,Color,Material,Feature,Description,Shipping,Image2,Status
123,"Los Angeles Kings NHL Mitchell & Ness Hat",25.00,"Pre-owned","Mitchell and Ness","One Size","Black","Wool Blend","Snapback adjustable","Official Los Angeles Kings NHL Mitchell & Ness Hat","","images/123_1.jpg,images/123_6.jpg,images/123_7.jpg,images_8.jpg","Active"
0001,"Kate Spade New York Mini Margaux Leather Satchel Bag",80.00,"New without tags","Kate Spade New York","Mini","Pink","Pebbled Leather","Top Handled with optional crossbody strap and gold tone hardware","Kate Spade New York Mini Margaux Leather Satchel Bag in Pink. Top Handled with optional crossbody strap and gold tone hardware.","","images/0001_1.jpg,images/0001_2.jpg,images/0001_3.jpg,images/0001_4.jpg,images/0001_5.jpg,images/0001_6.jpg,images/0001_7.jpg,images/0001_8.jpg,images/0001_9.jpg","Active"
0005,"Hoka One One Mach 6 Womens Black And White Size 7.5 Running Shoes 1147810 BWHT",40.00,"Pre-Owned - Good","Hoka One One","","Black","","running, walking, marathon","The Hoka One One Mach 6 Women's Black and White Size 7.5 Running Shoes are designed for running and jogging, featuring a low top shaft style and lace-up closure for a secure fit. Made with a breathable synthetic upper material and a comfortable rubber outsole, these athletic sneakers are suitable for casual occasions and various seasons. With a solid black color and logo accents, they embody the sporty theme of the Hoka One One brand, making them an ideal choice for active women looking for both style and performance in their footwear.Comes with replacement Insoles","","images/0005_1.jpg","Active"
0006,"Vintage Fendi VL 7018 Gold Oval Sunglasses w/ Zucca Print Hard Case",285.00,"Pre-owned","Fendi","One Size","Gold","Metal","Zucca Print Case","Vintage Fendi oval sunglasses featuring gold-tone frames and dark lenses. Includes the original Zucca print hard case.",6.00,"0006_1.jpg,0006_2.jpg,0006_3.jpg,0006_4.jpg,0006_5.jpg,0006_6.jpg,0006_7.jpg,0006_8.jpg","Active"
0007,"CHANEL Bow Sunglasses 5171-C Black w/ White Bow CC Logo – 60mm",310.00,"Pre-owned - Excellent","CHANEL","60mm","Black","Plastic/Resin","White Bow CC Logo","Beautiful pre-owned CHANEL 5171-C sunglasses featuring classic black frames and white bows with the CC logo on the arms. Size 60mm.",6.00,"0007_1.jpg,0007_2.jpg,0007_3.jpg,0007_4.jpg,0007_5.jpg,0007_6.jpg,0007_7.jpg,0007_8.jpg","Active"
0008,"Yves Saint Laurent Opium Vintage 1 oz. Eau de Toilette Spray",75.00,"New without box","Yves Saint Laurent","1 oz.","Multi","Glass/Fabric","Includes cosmetic bag","Vintage Yves Saint Laurent Opium 1 oz. Eau de Toilette Spray. Condition is new without box. Cosmetic bag not included in sale.",5.58,"0008_1.jpg,0008_2.jpg,0008_3.jpg,0008_4.jpg,0008_5.jpg,0008_6.jpg,0008_7.jpg,0008_8.jpg","Sold"
0009,"""C"" Tiffany & Co. Vintage Tie Tack Lapel Sterling Silver .925 W Box",105.00,"Pre-owned - Excellent","Tiffany & Co.","One Size","Silver","Sterling Silver .925","Includes Box & Pouch","Add a touch of timeless elegance to your wardrobe with this stunning vintage Tiffany & Co. sterling silver tie tack! Featuring a beautifully crafted letter 'C' design, this authentic piece comes complete with its iconic original Tiffany blue box and soft pouch. It is the perfect luxury accessory or gift! Please shop at our store.",5.17,"0009_1.jpg,0009_2.jpg,0009_3.jpg,0009_4.jpg,0009_5.jpg,0009_6.jpg,0009_7.jpg,0009_8.jpg","Active"
0010,"YSL Yves Saint Laurent Opium Parfum 60 ml 2.0 fl. oz. Vintage Perfume W/ Box",190.00,"New with box","Yves Saint Laurent","2.0 fl. oz.","Multi","Glass/Fabric","Includes Box & Bag","Step back in time with this gorgeous vintage YSL Yves Saint Laurent Opium perfume! This is a 2.0 fl. oz. (60 ml) bottle, brand new with its original box. A truly rare and beautiful find for any collection! Cosmetic bag not include in sale.Please shop at our store.",6.44,"0010_1.jpg,0010_2.jpg,0010_3.jpg,0010_4.jpg,0010_5.jpg,0010_6.jpg,0010_7.jpg,0010_8.jpg","Active"
0011,"yves saint laurent opium edt perfume spray 1.6 oz/50 ml vintage & discontinued.",110.00,"New without box","Yves Saint Laurent","1.6 oz","Multi","Glass","Discontinued","Don't miss out on this incredibly rare, vintage Yves Saint Laurent Opium EDT perfume spray! This discontinued 1.6 oz (50 ml) bottle is a true collector's gem and smells absolutely divine. It is new without the box and ready for a new home!Cosmetic bag not included in sale. Please shop at our store.",6.00,"0011_1.jpg,0011_2.jpg,0011_3.jpg,0011_4.jpg,0011_5.jpg,0011_6.jpg,0011_7.jpg,0011_8.jpg","Active"
0012,"Vintage LSU Tigers Collegiate Licensed New Era Pro Model Hat Size 7 3/8 - Purple/Gold",25.00,"Used","New Era","7 3/8","Purple/Gold","Wool Blend","Collegiate Licensed","Show your team spirit with this awesome vintage LSU Tigers collegiate licensed hat! This New Era Pro Model cap comes in a size 7 3/8 and features the classic purple and gold colors. It is the perfect addition for game day or any vintage fan's collection! Please shop at our store.",6.00,"0012_1.jpg,0012_2.jpg,0012_3.jpg,0012_4.jpg,0012_5.jpg,0012_6.jpg,0012_7.jpg,0012_8.jpg","Active"
0013,"Tiffany & Co. US Congressional 200th Anniversary Plate First Meeting Congress",99.00,"Pre-owned in excellent condition.","Tiffany & Co.",,"White/Gold","Porcelain","Original Box","Celebrate history with this exquisite Tiffany & Co. US Congressional 200th Anniversary Plate, commemorating the first meeting of Congress. This beautiful collectible piece features ornate borders and comes with its original iconic blue Tiffany box and informational card.",,,"Active"
